start	end	text
0	10720	Le chat, il dort.
10720	13320	Le chat, il dort.
13320	15320	Il dort, le chat.
15320	17320	Il dort, le chat.
17320	21320	Il avait beaucoup changé, Camus.
21320	23320	Il avait beaucoup changé, Camus.
23320	27320	Ces linguistes, ils sont tous fadas.
27320	29320	Ces linguistes, ils sont tous fadas.
29320	32320	Ils sont tous fadas, ces linguistes.
32320	35320	Ils sont tous fadas, ces linguistes.
35320	41320	Bien sûr, cela vous a fait plaisir de le boire, ce café auquel vous a fait chauffer.
41320	47320	Bien sûr, cela vous a fait plaisir de le boire, ce café auquel vous a fait chauffer.
47320	50320	Elle, je la connais.
50320	52320	Elle, je la connais.
52320	57320	Je la connais, elle.
58320	60320	Je la connais, elle.
60320	63320	Paul, je lui parle souvent.
63320	65320	Paul, je lui parle souvent.
65320	68320	Je lui parle souvent, Paul.
68320	70320	Je lui parle souvent, Paul.
70320	73320	La France, j'y crois.
73320	77320	La France, j'y crois très fort, va réussir.
77320	81320	La traduction neuronale, c'est impressionnant.
81320	86320	La traduction neuronale, c'est vrai, est impressionnante.
86320	94320	À Amsterdam, j'y suis allé souvent.
94320	103320	À Amsterdam, j'y suis allé souvent.
103320	108320	À moi aussi, elle me parle.
108320	118320	Danser, elle le fera toute sa vie.
118320	128320	Libre, je ne le suis à peu près jamais.
128320	140320	Sublime, il l'était.
140320	145320	Comédien, il le restera toujours.
145320	153320	Il l'était encore, comédien.
153320	160320	J'y suis resté longtemps, là-bas.
160320	165320	Là-dedans, savez-vous ce qu'il y fait?
165320	173320	Julie, je parle souvent de sa réussite.
173320	179320	Jamsky, je parle souvent de lui dans mes cours.
179320	185320	Classe, ses chaussettes ont disparu.
185320	192320	Cette équipe, les amateurs ont souvent souffert à cause d'elle.
192320	197320	Paul, Pierre s'est battu avec cet idiot.
197320	204320	Plastique Bertrand, j'ai tous les disques de ce farfelu.
204320	214320	Les yeux de statue, on en a vu par milliers.
214320	219320	J'en ai écrit une de lettres.
219320	224320	Que j'en trouve encore une de montre.
224320	229320	La lecture, ça c'est important.
229320	234320	La vitesse, c'est dépasser.
234320	239320	Un enfant, c'est précieux et fragile.
239320	244320	Ça bouge beaucoup, un enfant.
244320	250320	Ça travaille fort, un étudiant en médecine.
250320	257320	Ça prend toute son énergie, ce genre de travail.
267320	275320	Des livres, Jean, je sais bien qu'elle en a volé beaucoup.
275320	280320	Je lui ai donné le livre à Luc.
280320	286320	Il savait bien qu'elle l'était lourde à porter la valise.
286320	294320	À Paul, cette histoire, Marie la lui a bien racontée.
294320	304320	Cette histoire à Paul, Marie la lui a bien racontée.
305320	311320	Je sais où Paul il est allé.
311320	316320	Je sais Paul où il est allé.
316320	324320	Je lui ai demandé ces pommes-là à qui il avait l'intention de les vendre.
324320	333320	Je lui ai demandé à qui ces pommes-là il avait l'intention de les vendre.
333320	341320	Je lui ai demandé ces pommes-là où il les avait trouvées.
